ID;Attribute Usage;Datatype;Default Value;Enum Value;Group Name;Label;Max Length;Max Value;Min Length;Min Value;Required;Sequence;Shortcut;Version;Category
1;SUBJECT;SINGLE_LINE_TEXT;;;Adresse Patient;Strasse;;;;;;1;STRASSE;1;1
2;SUBJECT;SINGLE_LINE_TEXT;;;Adresse Patient;PLZ;;;;;;2;PLZ;1;1
3;SUBJECT;SINGLE_LINE_TEXT;;;Adresse Patient;Ort;;;;;;3;ORT;1;1
4;SUBJECT;SINGLE_LINE_TEXT;;;Adresse Patient;Land;;;;;;4;LAND;1;1
5;SUBJECT;SINGLE_LINE_TEXT;;;Adresse Patient;Telefon;;;;;;5;TELEFON;1;1
6;SUBJECT;SINGLE_LINE_TEXT;;;Adresse Patient;E-Mail;;;;;;6;EMAIL;1;1
7;SUBJECT;SINGLE_LINE_TEXT;;;Adresse Patient;Handy;;;;;;7;HANDY;1;1
8;SUBJECT;SINGLE_LINE_TEXT;;;Ärzte;Nachname Hausarzt;;;;;;8;NACHNAME_HAUSARZT;1;1
9;SUBJECT;SINGLE_LINE_TEXT;;;Ärzte;Ort Hausarzt;;;;;;9;ORT_HAUSARZT;1;1
10;SUBJECT;SINGLE_LINE_TEXT;;;Ärzte;Nachname Nephrologe;;;;;;10;NACHNAME_NEPHROLOGE;1;1
11;SUBJECT;SINGLE_LINE_TEXT;;;Ärzte;Ort Nephrologe;;;;;;11;ORT_NEPHROLOGE;1;1
12;SUBJECT;BOOLEAN;;;Patient;Verstorben ja/nein;;;;;;12;VERSTORBEN_JANEIN;1;1
13;SUBJECT;PRECISION_DATE;;;Patient;Geburtsdatum unscharf;;;;;;13;GEBURTSDATUM_UNSCHARF;1;1
14;SUBJECT;PRECISION_DATE;;;Patient;Todesdatum;;;;;;14;TODESDATUM;1;1
15;SUBJECT;BOOLEAN;;;Patient;Consent ja/nein;;;;;;15;CONSENT_JANEIN;1;1
16;SUBJECT;BOOLEAN;;;Patient;Schriftlicher Consent vorliegend;;;;;;16;SCHRIFTLICHER_CONSENT_VORLIEGEND;1;1
17;SUBJECT;DATE;;;Patient;Datum schriftlicher Consent;;;;;;17;DATUM_SCHRIFTLICHER_CONSENT;1;1
18;SUBJECT;INTEGER;;;Organisatorisch;Bezug Neumann-Register;;;;;;18;BEZUG_NEUMANNREGISTER;1;1
19;SUBJECT;BOOLEAN;;;Organisatorisch;Patient pseudonymisiert;;;;;;19;PATIENT_PSEUDONYMISIERT;1;1
